id,Method,I,Mean,列1,Error,列2,StdDev,列3,StdErr,列4,Median,列5,Min,列6,Q1,列7,Q3,列8,Max,列9,Op/s,Ratio,RatioSD
1,VectorT_Cotr,0,1.3716,ns,0.0457,ns,0.0405,ns,0.0108,ns,1.3655,ns,1.2774,ns,1.3552,ns,1.4009,ns,1.4413,ns,"729,070,101.00",0.101,0
2,VectorT_Init,0,0.6886,ns,0.0352,ns,0.0312,ns,0.0083,ns,0.6925,ns,0.6342,ns,0.676,ns,0.709,ns,0.7395,ns,"1,452,227,775.00",0.051,0
3,Vector2_Init,0,0.9206,ns,0.0239,ns,0.0212,ns,0.0057,ns,0.9251,ns,0.8672,ns,0.9141,ns,0.9291,ns,0.9542,ns,"1,086,212,882.40",0.068,0
4,UnityEngine_Init,0,1.6883,ns,0.0549,ns,0.0487,ns,0.013,ns,1.6806,ns,1.6181,ns,1.6548,ns,1.7186,ns,1.7941,ns,"592,310,936.40",0.124,0
5,MyClass_Init,0,19.2131,ns,0.3988,ns,0.3917,ns,0.0979,ns,19.1566,ns,18.7176,ns,18.8726,ns,19.4508,ns,19.9922,ns,"52,047,902.40",1.412,0.03
6,MyStruct_Init,0,14.723,ns,0.324,ns,0.2872,ns,0.0768,ns,14.7499,ns,14.1582,ns,14.5232,ns,14.9606,ns,15.111,ns,"67,921,082.70",1.083,0.02
7,ValueTuple_Extend_Init,0,1.4847,ns,0.0334,ns,0.0296,ns,0.0079,ns,1.4859,ns,1.4253,ns,1.4718,ns,1.4966,ns,1.5425,ns,"673,538,407.40",0.109,0
8,ValueTuple_Wrap_Init,0,22.3195,ns,0.2897,ns,0.271,ns,0.07,ns,22.2946,ns,21.957,ns,22.1323,ns,22.465,ns,22.8094,ns,"44,803,803.60",1.642,0.03
9,Tuple_Extend_Init,0,75.598,ns,1.403,ns,1.2437,ns,0.3324,ns,75.0641,ns,74.3768,ns,74.7384,ns,76.0818,ns,78.546,ns,"13,227,867.10",5.561,0.15
10,Tuple_Class_Init,0,18.4506,ns,0.2824,ns,0.2641,ns,0.0682,ns,18.4664,ns,18.0187,ns,18.307,ns,18.5996,ns,18.9355,ns,"54,198,719.00",1.357,0.02
11,Tuple_Wrap_Init,0,19.0166,ns,0.2409,ns,0.2136,ns,0.0571,ns,19.0231,ns,18.5194,ns,18.9236,ns,19.1124,ns,19.3584,ns,"52,585,598.40",1.399,0.02
12,Array_Extend_Init,0,24.1578,ns,0.1873,ns,0.1661,ns,0.0444,ns,24.1765,ns,23.8225,ns,24.1381,ns,24.25,ns,24.3983,ns,"41,394,469.40",1.777,0.03
13,Array_Wrap_Init,0,23.9527,ns,0.2723,ns,0.2547,ns,0.0658,ns,23.9627,ns,23.3152,ns,23.847,ns,24.1329,ns,24.3308,ns,"41,748,909.70",1.762,0.03
14,List_Class_Init,0,69.6844,ns,1.1759,ns,1.1,ns,0.284,ns,69.7153,ns,68.0482,ns,69.1042,ns,70.4757,ns,71.4342,ns,"14,350,403.90",5.127,0.12
15,List_Extend_Init,0,100.3311,ns,0.7611,ns,0.7119,ns,0.1838,ns,100.2783,ns,98.7589,ns,99.8715,ns,100.6744,ns,101.8372,ns,"9,966,996.60",7.381,0.12
16,List_ExtendParallel_Init,0,"22,085.55",ns,432.6888,ns,498.2851,ns,111.4199,ns,"22,261.80",ns,"21,207.76",ns,"21,677.83",ns,"22,491.87",ns,"22,785.93",ns,"45,278.50","1,612.86",42.34
17,Vector2,0,0.9694,ns,0.0325,ns,0.0304,ns,0.0079,ns,0.9793,ns,0.9178,ns,0.9413,ns,0.9893,ns,1.0139,ns,"1,031,566,410.10",0.071,0
