,method,mean,error,std_err,std_err_mean,N
0,Array_Extend,33.2972,0.267021535,0.081148488,0.0896,14.83867223
1,Array_Extend_Init,23.70086667,0.133882978,0.04068736,0.048816667,13.66410459
2,Array_Wrap,31.02111667,0.764072799,0.232203566,0.092133333,14.83275255
3,Array_Wrap_Init,21.06065,0.650686107,0.197745077,0.04105,14.66700187
4,List_Class,113.5443167,0.84782527,0.257656144,0.150033333,13.83026252
5,List_Class_Init,67.94316667,0.530694679,0.161279392,0.17155,14.82945487
6,List_Extend,147.7974833,2.50079482,0.759997575,0.311733333,14.50085102
7,List_Extend_Init,96.13073333,1.089525674,0.331109479,0.194766667,13.66630127
8,List_ExtendEnumerate,305.8024833,1.777365483,0.540145655,0.721733333,15.66714895
9,List_ExtendParallel,22152.07833,120.0249434,36.47586965,65.92611667,14.8333391
10,List_ExtendParallel_Init,21533.005,157.5595508,47.88272735,68.36568333,15.83333371
11,MyClass,27.00108333,0.132023533,0.04012227,0.05495,14.50628535
12,MyClass_Init,18.6245,0.161401394,0.049050273,0.0557,14.1692623
13,MyStruct,13.29545,0.062255071,0.018919466,0.025,14.32395478
14,MyStruct_Init,14.27881667,0.102579654,0.031174204,0.04115,14.33066499
15,MyStruct_DirectCall,13.28203333,0.058962128,0.017918733,0.027,14.33026192
16,Tuple_Class,28.2064,0.596089077,0.181152908,0.0709,14.50026708
17,Tuple_Class_Init,18.52648333,0.154071906,0.046822824,0.0527,14.34390949
18,Tuple_Extend,85.3409,2.640203529,0.802364218,0.151016667,14.67126303
19,Tuple_Extend_Init,76.2261,0.732711455,0.222672778,0.179716667,14.49945116
20,Tuple_Wrap,25.82026667,0.309190253,0.093963663,0.07115,14.66622287
21,Tuple_Wrap_Init,17.33611667,0.30030588,0.091263681,0.048083333,14.49908776
22,UnityEngine,0.282583333,0.004421438,0.001343686,0.002416667,14.7586281
23,UnityEngine_Init,1.634366667,0.012997751,0.003950048,0.005633333,14.67817249
24,ValueTuple_Cast,0.42995,0.011589675,0.00352213,0.004333333,13.90606072
25,ValueTuple_Extend,0.435083333,0.010763603,0.003271085,0.004383333,15.10129097
26,ValueTuple_Extend_Init,1.4608,0.009801888,0.002978818,0.004783333,14.12751744
27,ValueTuple_ExtendDetour,39.1907,0.160687099,0.048833197,0.084966667,13.99784351
28,ValueTuple_ExtendDirect,0.4317,0.010527398,0.003199302,0.003366667,14.1884379
29,ValueTuple_LocalMethod,0.430833333,0.009985352,0.003034573,0.0043,14.69292489
30,ValueTuple_NoAdd,5.653816667,0.024057584,0.007311158,0.007033333,14.34423898
31,ValueTuple_NoCompare,4.791383333,0.079121557,0.024045232,0.011683333,14.60625006
32,ValueTuple_Raw,0.418866667,0.009863167,0.00299744,0.004816667,14.47881751
33,ValueTuple_Literal,3.7351,0.02039115,0.00619692,0.010683333,14.81348587
34,ValueTuple_Wrap,38.74175,0.167873913,0.051017287,0.0769,14.00232173
35,ValueTuple_Wrap_Init,21.95445,0.112012771,0.034040951,0.03935,14.16396889
36,Vector2,0.9344,0.011054065,0.003359357,0.004316667,13.76091061
37,Vector2_Init,0.918,0.0073404,0.002230765,0.003883333,14.15640374
38,Vector2_NoAdd,0.731225,0.010555633,0.003207882,0.005491667,14.49732489
39,Vector2_NoCompare,0.683466667,0.014139109,0.004296909,0.005325,14.36691416
40,Vector2_NoReturn,0.004366667,0.003907655,0.001187546,0.001483333,14.8011228
41,Vector2_re,1.071266667,0.013167499,0.004001635,0.006566667,14.35958916
42,VectorT_Cotr,1.25375,0.031097423,0.009450582,0.0056,14.85271126
43,VectorT_Init,0.68665,0.011715164,0.003560267,0.0052,14.76417249
44,VectorT_Solid,38.20493333,0.186203362,0.056587651,0.076683333,14.82705243
45,VectorT_Static,37.86583333,0.174012422,0.052882795,0.088383333,14.66145067
46,Vain,0.013566667,0.00592055,0.001799269,0.001983333,15.05536787
47,Void,0.002866667,0.001820014,0.000553107,0.001116667,14.05387483
48,Void_re,0.001166667,0.00239789,0.000728725,0.0008,15.53538626
49,Vain_re,0.256416667,0.017061692,0.005185089,0.003433333,16.32799711
